millisSinceGpsEpoch,constellationType,svid,signalType,xSatPosM,ySatPosM,zSatPosM,satClkBiasM,rawPrM,rawPrUncM,isrbM,ionoDelayM,tropoDelayM
314680806.0,1,1,GPS_L1,15430260.677888067,-349741.2986111934,21541297.44940836,9929.851156892675,22032428.6575702,0.32,5.787329765022634,0.0,0.0
314680806.0,1,11,GPS_L1,19778373.42588181,3442677.264004237,16821762.241380986,-198841.5743249983,21987806.4963854,0.32,-17.55856331414469,0.0,0.0
314680806.0,1,22,GPS_L1,20364125.87846412,-3725725.672322908,16935680.67658209,75371.24752416482,22509167.5592051,0.32,14.46507338521647,0.0,0.0
314680806.0,3,7,Glonass_L1,11429643.782771016,6306288.995120984,21955582.33898608,-3196.025255442772,21298745.4824331,0.64,-33.50040829913133,0.0,0.0
314680806.0,3,8,Glonass_L1,22575676.26277206,-4476796.00086606,11044264.745790944,-8064.003773825711,22022855.6276328,0.64,36.909169106627786,0.0,0.0
314680806.0,3,22,Glonass_L1,21001843.43955731,8567795.4116602,11794367.643135544,63415.0230446544,21733493.2577004,1.28,-44.802536798294895,0.0,0.0
314681006.0,1,1,GPS_L1,15430408.384548271,-349210.5694048068,21541205.417153858,9929.851238182991,22032411.8879109,0.32,5.787329765022634,0.0,0.0
314681006.0,1,11,GPS_L1,19778608.779734567,3443069.674723798,16821416.79969893,-198841.57452322613,21987842.6532366,0.32,-17.55856331414469,0.0,0.0
314681006.0,1,22,GPS_L1,20363880.54318908,-3725378.349843396,16936055.2495725,75371.24685668189,22509121.7000329,0.32,14.46507338521647,0.0,0.0
314681006.0,3,7,Glonass_L1,11429094.089536116,6306527.604165588,21955799.78054149,-3196.0252724883503,21298798.0773894,0.64,-33.50040829913133,0.0,0.0
314681006.0,3,8,Glonass_L1,22575390.884286363,-4476697.268493761,11044891.23928888,-8064.003778308939,22022761.9199636,0.64,36.909169106627786,0.0,0.0
314681006.0,3,22,Glonass_L1,21002125.987524617,8567955.187734978,11793751.032624802,63415.02303435108,21733582.2363607,0.64,-44.802536798294895,0.0,0.0
314681206.0,1,1,GPS_L1,15430556.096755365,-348679.8442829196,21541113.36644216,9929.851319461408,22032395.1008014,0.32,5.787329765022634,0.0,0.0
314681206.0,1,11,GPS_L1,19778844.13169144,3443462.076253929,16821071.343087226,-198841.57472122225,21987876.4019577,0.32,-17.55856331414469,0.0,0.0
314681206.0,1,22,GPS_L1,20363635.20541004,-3725031.017894408,16936429.80844827,75371.24618931339,22509074.7065965,0.32,14.46507338521647,0.0,0.0
314681206.0,3,7,Glonass_L1,11428544.39476126,6306766.224556569,21956017.20109129,-3196.025289460417,21298849.9219863,0.64,-33.50040829913133,0.0,0.0
314681206.0,3,8,Glonass_L1,22575105.49184408,-4476598.52445639,11045517.722198067,-8064.003782877303,22022667.7760388,0.64,36.909169106627786,0.0,0.0
314681206.0,3,22,Glonass_L1,21002408.524577964,8568114.94921233,11793134.41085707,63415.02302401253,21733672.5412375,0.64,-44.802536798294895,0.0,0.0
314681406.0,1,1,GPS_L1,15430703.814509146,-348149.12324604124,21541021.29727333,9929.85140072791,22032379.0117007,0.32,5.787329765022634,0.0,0.0
314681406.0,1,11,GPS_L1,19779079.481752053,3443854.468594409,16820725.871546168,-198841.5749189861,21987911.4943455,0.32,-17.55856331414469,0.0,0.0
314681406.0,1,22,GPS_L1,20363389.865127426,-3724683.6764760735,16936804.35320909,75371.24552205951,22509027.5561082,0.32,14.46507338521647,0.0,0.0
314681406.0,3,7,Glonass_L1,11427994.698447185,6307004.856293816,21956234.60063524,-3196.025306358836,21298902.5343927,0.32,-33.50040829913133,0.0,0.0
314681406.0,3,8,Glonass_L1,22574820.085445754,-4476499.768753596,11046144.194517896,-8064.003787530895,22022573.4401617,0.64,36.909169106627786,0.0,0.0
314681406.0,3,22,Glonass_L1,21002691.05071669,8568274.696092429,11792517.777832933,63415.02301363871,21733764.0501793,0.64,-44.802536798294895,0.0,0.0
314681606.0,1,1,GPS_L1,15430851.537809424,-347618.40629468096,21540929.209647465,9929.85148198248,22032361.4393314,0.32,5.787329765022634,0.0,0.0
314681606.0,1,11,GPS_L1,19779314.829915967,3444246.851745022,16820380.38507608,-198841.57511651737,21987946.6739845,0.32,-17.55856331414469,0.0,0.0
314681606.0,1,22,GPS_L1,20363144.52234168,-3724336.325588525,16937178.883854646,75371.24485492043,22508981.8539879,0.32,14.46507338521647,0.0,0.0
314681606.0,3,7,Glonass_L1,11427445.000594636,6307243.499377216,21956451.97917312,-3196.025323183472,21298955.1118988,0.32,-33.50040829913133,0.0,0.0
314681606.0,3,8,Glonass_L1,22574534.665091928,-4476401.001385031,11046770.656247765,-8064.003792269813,22022479.0344838,0.64,36.909169106627786,0.0,0.0
314681606.0,3,22,Glonass_L1,21002973.56594018,8568434.428375462,11791901.133552969,63415.023003229646,21733854.0933029,0.64,-44.802536798294895,0.0,0.0
314681806.0,1,1,GPS_L1,15430999.266655955,-347087.6934295026,21540837.103564654,9929.851563225104,22032345.0710272,0.32,5.787329765022634,0.0,0.0
314681806.0,1,11,GPS_L1,19779550.17618273,3444639.225705432,16820034.883677367,-198841.5753138156,21987981.731472,0.32,-17.55856331414469,0.0,0.0
314681806.0,1,22,GPS_L1,20362899.1770533,-3723988.9652319937,16937553.4003845,75371.24418789637,22508935.9599153,0.32,14.46507338521647,0.0,0.0
314681806.0,3,7,Glonass_L1,11426895.301204512,6307482.153806587,21956669.33670465,-3196.025339934188,21299008.4397642,0.32,-33.50040829913133,0.0,0.0
314681806.0,3,8,Glonass_L1,22574249.230783228,-4476302.222350376,11047397.10738688,-8064.003797094155,22022385.5885678,0.32,36.909169106627786,0.0,0.0
314681806.0,3,22,Glonass_L1,21003256.070247684,8568594.146061558,11791284.478017945,63415.0229927853,21733945.2357901,0.64,-44.802536798294895,0.0,0.0
314681806.0,3,23,Glonass_L1,10299388.816783885,-5441262.9458971685,22678586.807772733,6290.123181314861,21649974.0070793,0.64,28.504263208534347,0.0,0.0
314682006.0,1,1,GPS_L1,15431147.001048634,-346556.9846507067,21540744.979024924,9929.851644455764,22032327.8302121,0.32,5.787329765022634,0.0,0.0
314682006.0,1,11,GPS_L1,19779785.52055205,3445031.59047565,16819689.36735014,-198841.57551088007,21988017.9755742,0.32,-17.55856331414469,0.0,0.0
