parameter,tp,tn,fn,fp,error_avg,error_median,error_min,error_max
0.01,766,18705,12,2475,8.027607894761644,7.04970957430263,0.06809488923902896,65.00975013284662
0.015848931924611134,766,18730,12,2450,8.018889989540993,7.044011611391991,0.06843565720787088,65.01012643640618
0.025118864315095794,766,18767,12,2413,8.00064701167684,7.025656196190652,0.14025111499573586,65.0101706511861
0.039810717055349734,766,18842,12,2338,7.946151477429818,7.011977551405234,0.1292281369936033,65.01335698396275
0.06309573444801933,766,18987,12,2193,7.944320479935018,6.971219925520676,0.09310790290998427,65.013414153349
0.1,766,19165,12,2015,8.033538527680633,7.0736055552280455,0.1226149078862349,65.01235106010891
0.15848931924611143,766,19489,12,1691,8.16470011316027,7.161396865907249,0.1276235250897195,64.38432307209303
0.25118864315095807,768,19961,10,1219,8.183260740310637,7.372178032417111,0.0867062791345351,57.59681132791245
0.3981071705534973,768,20369,10,811,8.26217479173073,7.479275847396494,0.07387250516045106,59.75260627453304
0.6309573444801934,768,20774,10,406,8.17976844052866,7.514571352888973,0.09899806903931326,61.934782865384825
1.0,762,20983,16,197,8.417140906961295,7.601558606386762,0.09701933065679683,60.6079271183456
1.584893192461114,758,21094,20,86,8.37868780262485,7.695850690468351,0.13772618001103382,102.956976183397
2.5118864315095824,731,21088,47,92,9.032571896856355,8.173145517092378,0.139337610514405,105.491203366247
3.981071705534973,720,21114,58,66,9.0599652524407,8.205239974495754,0.13746304564024475,95.41478187923478
6.309573444801936,671,21088,107,92,9.715702963765075,8.612197538119345,0.13688438919889395,95.41503020800074
10.0,605,21035,173,145,11.063992884457484,9.372318866742024,0.23091203046713762,119.0543630540654
15.848931924611142,504,21003,274,177,12.720305403504026,10.089237117276365,0.23090969967973926,119.79496184013591
25.11886431509582,408,21127,370,53,14.349256186919584,11.309229621561833,0.2304266965013311,119.79287823052415
39.810717055349734,198,21178,580,2,18.070928195350763,14.834281072557307,0.31494225367281525,119.76705241409243
63.095734448019364,44,21177,734,3,18.584398869732176,15.277233969783072,0.43326828438717335,119.84490466380343
100.0,1,21180,777,0,18.608231977991426,15.303018007539148,0.31825104946176963,119.84403735401835
