parameter,tp,tn,fn,fp,error_avg,error_median,error_min,error_max,time_avg,time_median,time_min,time_max
0.01,27,21072,775,84,19.86499870162376,15.699267556244397,0.48361833440431906,109.8484857341143,0.0008223738302875597,0.0009002685546875,0.000438690185546875,0.005520820617675781
0.012589254117941675,27,21072,775,84,19.865056321181427,15.699267556892096,0.48361833447084723,109.84848573270705,0.0007871074986889716,0.0008740425109863281,0.00042939186096191406,0.006249427795410156
0.015848931924611134,24,21065,778,91,19.915862448176046,15.8049567400288,0.48361833370342083,109.84848573270705,0.0007813048575017436,0.0008678436279296875,0.0004267692565917969,0.005587577819824219
0.0199526231496888,24,21065,778,91,19.915839148122657,15.804956774306046,0.48361833370342083,109.8484857341143,0.000782343153211285,0.0008676052093505859,0.00042629241943359375,0.004809379577636719
0.025118864315095794,27,21065,775,91,19.875862958877356,15.706062941139574,0.48361833370342083,109.84848573414291,0.0007814619487730828,0.0008673667907714844,0.00042748451232910156,0.0049016475677490234
0.03162277660168379,24,21062,778,94,19.924559271292154,15.80908137961362,0.4836183352412416,109.8484857369874,0.0007804143564226,0.0008683204650878906,0.0004267692565917969,0.00399327278137207
0.039810717055349734,24,21059,778,97,19.92723802522335,15.809081361015787,0.48361833510521723,109.84851131429255,0.0007814646572432783,0.0008678436279296875,0.0004286766052246094,0.0036873817443847656
0.05011872336272725,24,21059,778,97,19.9280420057284,15.810781246217065,0.4836183371235755,109.84851120941339,0.0007833661497243168,0.0008683204650878906,0.0004286766052246094,0.0061838626861572266
0.06309573444801933,20,21054,782,102,19.99531493182303,15.933567338269304,0.4836183351022493,109.84851120941339,0.0007822728061880991,0.0008676052093505859,0.00042748451232910156,0.005235195159912109
0.07943282347242814,25,21048,777,108,19.93542855107458,15.811172922944237,0.4836183341233662,109.87361073186354,0.0007808639624750538,0.0008685588836669922,0.0004279613494873047,0.0015082359313964844
0.1,18,21050,784,106,20.010714207544478,15.93374775897778,0.48361833370342083,109.87361073186354,0.0007833156404152654,0.0008680820465087891,0.0004265308380126953,0.0046961307525634766
0.12589254117941676,19,21051,783,105,20.01212364213318,15.944831335534458,0.48363228967263955,109.87365954664843,0.0007834334954697185,0.0008683204650878906,0.0004265308380126953,0.007389068603515625
0.15848931924611143,20,21045,782,111,20.007098906783753,15.934111571303946,0.483632288838729,109.87365954906419,0.0007834196603111523,0.0008680820465087891,0.0004260540008544922,0.005117654800415039
0.19952623149688797,24,21032,778,124,19.992923640900546,15.889697809979902,0.506060000466156,109.87369259827244,0.000783500768013223,0.0008690357208251953,0.0004286766052246094,0.003737926483154297
